	course	freq
1062	JWST 377	3
1063	JWST 380	2
1064	KOR 201	1
1065	KOR 202	1
1066	KOR 206	3
1067	KOR 209H	2
1068	KOR 231	1
1069	KOR 232	1
1070	KOR 246	2
1071	KOR 256	4
1072	KOR 309	1
1073	LAST 101	1
1074	LAST 207	4
1075	LAST 211	4
1076	LAST 217	3
1077	LAST 221H	1
1078	LAST 241	1
1079	LAST 245	4
1080	LAST 253	1
1081	LAST 273	1
1082	LAST 275	1
1083	LAST 317	1
1084	LAT 101	1
1085	LAT 102	1
1086	LAT 202	1
1087	LAT 215	1
1088	LAT 250	1
1089	LAT 250H	1
1090	LAT 302	1
1091	LAT 304	1
1092	LAT 308	1
1093	LAT 310	1
1094	LAT 311	1
1095	LAT 350	1
1096	LAT 350H	1
1097	LING 114	5
1098	LING 238	2
1099	LING 240	2
1100	LING 244	4
1101	LING 246	4
1102	LING 248	2
1103	LING 270	1
1104	LING 312	2
1105	LING 315	1
1106	LING 338	3
1107	MAS 115	2
1108	MAS 121	1
1109	MAS 221	1
1110	MAS 222	3
1111	MAS 246	4
1112	MAS 250	2
1113	MAS 250H	2
1114	MAS 260	1
1115	MAS 350	1
1116	MAS 350H	1
1117	MAS 360	2
1118	MAS 370	2
1119	MATH 115	2
1120	MATH 115Z	1
1121	MATH 116	3
1122	MATH 120	2
1123	MATH 203	1
1124	MATH 205	4
1125	MATH 206	2
1126	MATH 207Y	1
1127	MATH 215	6
1128	MATH 220	1
1129	MATH 223	1
1130	MATH 223Y	1
1131	MATH 225	2
1132	MATH 250	1
1133	MATH 302	1
1134	MATH 305	1
1135	MATH 306	1
1136	MATH 307	1
1137	MATH 309	1
1138	MATH 310	1
1139	MATH 312	1
1140	MATH 313	1
1141	MATH 314	1
1142	MATH 316	1
1143	MATH 322	1
1144	MATH 325	1
1145	MATH 326	1
1146	MATH 340	1
1147	MATH 350	1
1148	MATH 355	1
1149	MATH 360	1
1150	MATH 365	1
1151	MATH 370	1
1152	MER 211	2
1153	MER 214	4
1154	MER 247	1
1155	MER 248	3
1156	MER 263	2
1157	MER 293	1
1158	MER 311	2
1159	MER 314	3
1160	MER 350	1
1161	MER 360	1
1162	MER 370	1
1163	MES 250	2
1164	MES 250H	2
1165	MES 260	2
1166	MES 261	3
1167	MES 263	2
1168	MES 264	3
1169	MES 265	3
1170	MES 267	2
1171	MES 270H	2
1172	MES 293	6
1173	MES 310	2
1174	MES 347	2
1175	MES 350	2
1176	MES 350H	2
1177	MES 358	5
1178	MES 359	2
1179	MES 360	2
1180	MES 361	2
1181	MES 362	2
1182	MES 363	2
1183	MES 364	6
1184	MES 365	3
1185	MES 366	7
1186	MES 367	2
1187	MES 369	6
1188	MES 370	2
1189	MUS 100	1
1190	MUS 122	1
1191	MUS 199	1
1192	MUS 200	2
1193	MUS 201	1
1194	MUS 202	1
1195	MUS 209	6
1196	MUS 210	3
1197	MUS 212	1
1198	MUS 213	1
1199	MUS 214H	1
1200	MUS 215	2
1201	MUS 220	3
1202	MUS 222	2
1203	MUS 224	1
1204	MUS 244	1
1205	MUS 245	5
1206	MUS 250	1
1207	MUS 250H	1
1208	MUS 275	4
1209	MUS 276	4
1210	MUS 277	4
1211	MUS 298	1
1212	MUS 299	1
1213	MUS 300	4
1214	MUS 301	1
1215	MUS 309	1
1216	MUS 314	2
1217	MUS 315	1
1218	MUS 322	2
1219	MUS 336	2
1220	MUS 344	1
1221	MUS 345	2
1222	MUS 350	1
1223	MUS 398	1
1224	NEUR 100	1
1225	NEUR 200	1
1226	NEUR 300	1
1227	NEUR 305	1
1228	NEUR 306	1
1229	NEUR 310	1
1230	NEUR 315	1
1231	NEUR 325	1
1232	NEUR 332	2
1233	NEUR 335	1
1234	PEAC 104	2
1235	PEAC 119Y	1
1236	PEAC 201	2
1237	PEAC 204	1
1238	PEAC 205	3
1239	PEAC 206	3
1240	PEAC 207	3
1241	PEAC 207/	1
1242	PEAC 209	2
1243	PEAC 210	1
1244	PEAC 215	3
1245	PEAC 217	4
1246	PEAC 219	2
1247	PEAC 220	3
1248	PEAC 221	2
1249	PEAC 222	4
1250	PEAC 223	1
