	course	0	1	2	3	4	5	6	7
926	ECON 229	Economics	International Relations - History	International Relations - Political Science	Women's and Gender Studies				
111	ECON 232	American Studies	Economics	International Relations - History	International Relations - Political Science				
927	ECON 233	Economics	International Relations - History	International Relations - Political Science					
928	ECON 241	Economics	Education Studies	International Relations - History	International Relations - Political Science	Latin American Studies			
112	ECON 243	American Studies							
1389	ECON 250	International Relations - History	International Relations - Political Science						
1390	ECON 250H	International Relations - History	International Relations - Political Science						
1391	ECON 251H	International Relations - History	International Relations - Political Science						
929	ECON 301	Economics	International Relations - History	International Relations - Political Science					
930	ECON 302	Economics	International Relations - History	International Relations - Political Science					
931	ECON 303	Economics	International Relations - History	International Relations - Political Science					
113	ECON 306	American Studies	Economics	International Relations - History	International Relations - Political Science				
114	ECON 311	American Studies	Economics	International Relations - Economics	International Relations - History	International Relations - Political Science	Jewish Studies		
932	ECON 312	Economics	International Relations - Economics	International Relations - History	International Relations - Political Science				
933	ECON 313	Economics	International Relations - Economics	International Relations - History	International Relations - Political Science				
934	ECON 314	Economics	International Relations - Economics	International Relations - History	International Relations - Political Science				
115	ECON 318	American Studies	Economics	International Relations - History	International Relations - Political Science				
935	ECON 320	Economics	International Relations - Economics	International Relations - History	International Relations - Political Science				
936	ECON 322	Economics	International Relations - History	International Relations - Political Science					
937	ECON 323	Economics	International Relations - History	International Relations - Political Science					
938	ECON 324	Economics	International Relations - History	International Relations - Political Science					
116	ECON 326	American Studies	Economics	Education Studies	International Relations - History	International Relations - Political Science			
939	ECON 327	Economics	Education Studies	International Relations - History	International Relations - Political Science				
940	ECON 328	Economics	Environmental Studies	International Relations - Economics	International Relations - History	International Relations - Political Science			
117	ECON 332	American Studies	Economics	International Relations - History	International Relations - Political Science				
118	ECON 334	American Studies	Economics	International Relations - History	International Relations - Political Science				
941	ECON 335	Economics	International Relations - History	International Relations - Political Science					
119	ECON 341	American Studies	Economics	International Relations - History	International Relations - Political Science				
1392	ECON 350	International Relations - History	International Relations - Political Science						
1393	ECON 360	International Relations - History	International Relations - Political Science						
1394	ECON 370	International Relations - History	International Relations - Political Science						
1736	EDUC 102	Philosophy							
951	EDUC 103Y	Education Studies							
953	EDUC 117Y	Education Studies							
954	EDUC 200	Education Studies							
955	EDUC 201	Education Studies							
956	EDUC 207	Education Studies	International Relations - Economics	International Relations - History	International Relations - Political Science				
958	EDUC 212	Education Studies							
959	EDUC 213	Education Studies							
942	EDUC 214	Education Studies	Women's and Gender Studies						
120	EDUC 215	American Studies	Education Studies						
122	EDUC 216	American Studies	Education Studies						
960	EDUC 217	Education Studies	International Relations - Economics	International Relations - History	International Relations - Political Science				
108	EDUC 226	American Studies	Economics	Education Studies	International Relations - History	International Relations - Political Science			
948	EDUC 227	Education Studies	International Relations - History	International Relations - Political Science	Women's and Gender Studies				
969	EDUC 300	Education Studies							
970	EDUC 303	Education Studies							
971	EDUC 304	Education Studies							
972	EDUC 305	Education Studies							
961	EDUC 308	Education Studies	International Relations - Economics	International Relations - History	International Relations - Political Science				
687	EDUC 310	Cognitive and Linguistic Sciences - Linguistics Concentration	Education Studies						
962	EDUC 313	Education Studies							
973	EDUC 314	Education Studies							
950	EDUC 317	Education Studies							
963	EDUC 321	Education Studies	International Relations - Economics	International Relations - History	International Relations - Political Science	Latin American Studies			
974	EDUC 325	Education Studies	Spanish						
966	EDUC 328	Education Studies							
943	EDUC 330	Education Studies							
967	EDUC 332	Education Studies							
123	EDUC 334	American Studies	Education Studies						
124	EDUC 335	American Studies	Education Studies						
944	EDUC 339	Education Studies							
945	EDUC 360	Education Studies							
946	EDUC 370	Education Studies							
730	ENG 103	Comparative Literary Studies	English	English and Creative Writing					
731	ENG 106	Comparative Literary Studies							
732	ENG 111D	Comparative Literary Studies	English	English and Creative Writing					
733	ENG 112	Comparative Literary Studies	Medieval Renaissance Studies						
734	ENG 113	Comparative Literary Studies							
735	ENG 115	Comparative Literary Studies							
729	ENG 116	Comparative Literary Studies							
736	ENG 119	Comparative Literary Studies	English	English and Creative Writing					
737	ENG 120	Comparative Literary Studies	English	English and Creative Writing					
738	ENG 121	Comparative Literary Studies	English	English and Creative Writing					
739	ENG 150	Comparative Literary Studies							
740	ENG 150Y	Comparative Literary Studies							
752	ENG 200	Comparative Literary Studies							
753	ENG 202	Comparative Literary Studies	English and Creative Writing						
754	ENG 203	Comparative Literary Studies	English and Creative Writing						
546	ENG 204	Cinema and Media Studies - entering in Fall 2020 and before	Cinema and Media Studies - entering in Spring 2021 and after	Comparative Literary Studies	English and Creative Writing	Media Arts and Sciences			
755	ENG 205	Comparative Literary Studies	English and Creative Writing						
1022	ENG 206	English and Creative Writing							
548	ENG 208	Cinema and Media Studies - entering in Fall 2020 and before	Cinema and Media Studies - entering in Spring 2021 and after	Comparative Literary Studies	English and Creative Writing	Media Arts and Sciences			
756	ENG 210	Comparative Literary Studies	Medieval Renaissance Studies						
1010	ENG 211	English	English and Creative Writing	Medieval Renaissance Studies					
757	ENG 213	Comparative Literary Studies	English	English and Creative Writing	Medieval Renaissance Studies				
1011	ENG 214	English	English and Creative Writing	Medieval Renaissance Studies					
758	ENG 220	Comparative Literary Studies							
1013	ENG 221	English	English and Creative Writing	History	International Relations - Economics	International Relations - History	International Relations - Political Science	Medieval Renaissance Studies	
759	ENG 222	Comparative Literary Studies	English	English and Creative Writing	Medieval Renaissance Studies				
760	ENG 223	Comparative Literary Studies	English	English and Creative Writing	Medieval Renaissance Studies	Theatre Studies			
761	ENG 224	Comparative Literary Studies	English	English and Creative Writing	Medieval Renaissance Studies	Theatre Studies			
762	ENG 227	Comparative Literary Studies	English	English and Creative Writing	Medieval Renaissance Studies				
763	ENG 234	Comparative Literary Studies	English	English and Creative Writing					
764	ENG 241	Comparative Literary Studies	English	English and Creative Writing					
765	ENG 245	Comparative Literary Studies	English	English and Creative Writing					
766	ENG 246	Comparative Literary Studies							
1576	ENG 247	Medieval Renaissance Studies							
743	ENG 248	Comparative Literary Studies	English	English and Creative Writing					
767	ENG 249	Comparative Literary Studies							
125	ENG 251	American Studies	Comparative Literary Studies						
126	ENG 252	American Studies	Comparative Literary Studies	English	English and Creative Writing				
127	ENG 253	American Studies	Comparative Literary Studies						
768	ENG 254	Comparative Literary Studies							
769	ENG 257	Comparative Literary Studies							
744	ENG 258	Comparative Literary Studies	Jewish Studies						
741	ENG 260	Comparative Literary Studies	International Relations - History	International Relations - Political Science					
745	ENG 261	Comparative Literary Studies							
746	ENG 262	Comparative Literary Studies							
78	ENG 265	American Studies	Comparative Literary Studies	International Relations - History	International Relations - Political Science				
747	ENG 266	Comparative Literary Studies							
770	ENG 267	Comparative Literary Studies							
748	ENG 268	Comparative Literary Studies							
742	ENG 269	Comparative Literary Studies							
128	ENG 270	American Studies	Comparative Literary Studies						
771	ENG 271	Comparative Literary Studies							
772	ENG 272	Comparative Literary Studies	English	English and Creative Writing	Jewish Studies	Women's and Gender Studies			
72	ENG 279	American Studies	Comparative Literary Studies	International Relations - History	International Relations - Political Science	Women's and Gender Studies			
773	ENG 280	Comparative Literary Studies							
774	ENG 283	Comparative Literary Studies	English	English and Creative Writing					
775	ENG 284	Comparative Literary Studies	English	English and Creative Writing					
776	ENG 286	Comparative Literary Studies	English	English and Creative Writing					
777	ENG 287	Comparative Literary Studies							
778	ENG 289	Comparative Literary Studies							
